Dep Ap,Arr Ap,avg_duration
BCN,PGF,2.75
BER,DUS,3.86
BER,HAJ,3.89
BER,HAM,3.47
BER,NUE,5.48
BER,QBS,0.33
BER,QMU,4.62
BER,QPA,4.87
BER,STR,1.62
BER,ZMB,2.65
CGN,DTM,1.61
CGN,DUS,1.33
CGN,FRA,1.21
CGN,HAM,5.1
CGN,MUC,1.54
CGN,NUE,4.5
CGN,PAD,2.42
CGN,QKL,0.5
CGN,QPA,3.38
CGN,STR,3.77
CGN,VLB,1.33
CGN,ZWS,2.95
DTM,DUS,1.34
DUS,FMO,1.98
DUS,FRA,1.64
DUS,HAJ,2.76
DUS,HAM,3.78
DUS,NUE,3.31
DUS,QDU,0.5
DUS,QMU,1.48
DUS,STR,4.37
DUS,VLB,0.84
DUS,ZMB,3.68
DUS,ZWS,3.48
DWC,DXB,1.0
FMO,QMU,0.5
FMO,VLB,1.92
FRA,NUE,2.77
FRA,QES,3.33
FRA,QKL,1.01
HAJ,HAM,2.71
HAJ,QES,3.02
HAJ,VLB,2.5
HAJ,ZMB,1.62
HAJ,ZVR,0.5
HAM,QBS,3.57
HAM,QES,3.84
HAM,ZMB,0.5
MUC,STR,0.95
MUC,VLB,3.58
NUE,QES,4.68
NUE,QKL,3.96
NUE,STR,3.08
NUE,ZWS,2.66
PAD,QPA,0.5
QDU,ZWS,2.55
QES,VLB,0.53
QES,ZVR,2.23
QES,ZWS,4.34
QKL,QPA,2.45
QKL,ZWS,2.79
STR,ZWS,0.56
