captain_id;Count 
3;10
5;10
7;7
8;8
9;8
10;10
11;2
12;8
13;10
14;8
15;10
16;12
19;8
20;10
22;10
23;10
24;8
26;10
28;10
29;10
33;5
35;10
36;8
37;10
38;10
39;10
40;4
41;8
42;10
43;10
44;10
45;10
46;7
48;5
49;10
50;12
54;10
55;10
57;10
58;10
61;10
62;10
63;9
64;10
65;5
66;10
67;7
68;8
69;10
70;12
72;9
73;10
74;10
76;2
80;10
81;10
82;5
83;6
84;5
86;6
88;10
89;14
92;8
93;9
94;8
95;10
96;10
97;20
98;10
101;8
102;10
104;10
107;10
108;10
109;10
115;10
116;10
119;1
120;8
122;10
123;14
126;8
127;6
129;10
130;12
131;8
132;10
133;10
134;10
135;10
136;6
137;10
138;15
139;11
140;10
141;10
142;10
143;10
144;10
148;10
153;10
155;9
160;10
161;8
162;10
163;10
164;10
165;10
167;10
168;10
170;10
171;10
172;10
173;6
175;8
176;10
177;5
178;8
181;10
182;10
183;3
184;10
187;10
189;10
190;10
191;10
192;10
193;10
197;5
198;10
199;10
200;8
201;10
205;21
208;10
245;10
246;8
248;10
250;15
251;6
253;5
256;10
262;10
267;10
270;10
271;10
276;8
280;15
297;5
307;9
309;10
312;10
313;10
320;8
327;10
328;10
329;10
330;14
334;8
335;10
336;9
341;8
344;10
346;13
347;10
349;10
350;7
351;2
352;10
355;6
359;10
361;10
362;10
363;10
365;8
371;10
374;6
375;21
377;10
380;8
383;10
388;10
389;10
390;5
391;9
394;15
400;6
401;10
403;6
404;17
411;10
412;8
415;5
422;8
429;6
432;10
433;10
435;10
437;7
448;10
449;8
454;20
461;5
464;10
465;10
466;17
469;15
485;12
489;10
493;10
495;6
496;10
499;10
503;8
504;10
505;10
506;10
507;8
508;10
509;10
510;10
511;10
512;5
513;8
517;10
521;10
522;10
524;14
529;10
537;12
543;12
547;10
553;1
555;10
556;10
557;3
558;14
560;10
561;10
567;12
569;10
570;10
572;10
577;10
578;10
581;10
582;13
583;10
584;6
590;10
592;13
593;21
595;10
596;10
597;10
603;8
607;10
610;10
611;10
612;8
613;10
616;10
621;12
623;8
624;10
625;10
627;10
628;14
629;10
635;6
636;10
638;10
640;4
652;14
653;10
656;10
657;4
658;9
661;10
663;10
667;10
674;10
675;10
678;12
679;9
681;19
682;5
683;15
685;5
686;21
689;8
691;14
692;10
694;5
696;5
699;10
702;10
703;10
704;6
708;6
709;10
710;6
711;10
712;10
714;10
715;10
716;10
719;8
720;10
721;10
722;10
723;8
724;10
726;4
729;10
730;8
741;10
742;10
743;10
744;10
745;10
748;10
750;10
751;5
755;10
756;21
768;10
769;8
775;8
788;10
790;10
801;10
803;6
815;8
817;4
820;10
824;10
825;10
826;14
828;10
830;5
834;10
835;10
836;10
837;10
838;10
839;10
840;10
842;15
843;3
845;5
846;10
847;10
854;5
857;10
858;7
861;10
863;10
864;7
865;5
866;14
867;10
869;10
870;10
871;10
872;7
874;10
875;8
876;6
879;10
880;5
882;10
883;13
889;8
890;10
891;10
894;10
895;10
898;10
902;14
903;10
907;5
909;10
916;10
917;10
918;8
919;6
920;10
921;6
922;10
923;10
925;10
926;10
927;10
928;13
929;10
931;10
933;15
